"","CTRL_1","CTRL_2","CTRL_3","RBM47KD_1","RBM47KD_2","RBM47KD_3"
"ABT1",754.154818034752,833.020169767207,824.718812744675,818.577725429267,839.148281190501,802.109530985141
"ABTB1",380.254460470848,372.785616603354,378.327232112488,307.37821929853,307.716833765404,330.427231911546
"ABTB2",310.030444899737,282.04057402349,256.197592448589,214.475210116569,209.809535310312,223.334819158383
"ACAA1",532.501720727036,556.175495036414,560.068793395448,550.482513034516,529.535711465821,505.630405683093
"ACAA2",203.737790107401,192.231402352546,209.30933421311,205.277086211868,217.580023967178,166.551214588633
"ACACA",4604.02725086653,4396.56162816849,4274.19867425174,4481.99573276107,4845.98011586366,5044.3147876618
"ACACB",86.7734938736973,56.6527835666144,51.7310624489246,70.4259017140053,75.3783457329784,70.2677270684413
"ACAD10",619.436354824576,604.966405020133,611.209338104799,743.807741525786,615.131998975825,602.251429956271
"ACAD11",1274.78992610513,931.442735019308,1055.23002057248,1338.44861760632,1313.47618042978,1247.56965974846
"ACAD8",874.150352931946,924.761341653477,925.270897410445,899.841606730322,883.356116051252,749.70515433209
"ACAD9",790.999290299736,792.881956048889,789.08256092169,874.133205888615,889.927156128261,855.135880799706
"ACADM",1698.55990907965,1659.39617187288,1727.49238477801,1478.73226536872,1559.0195348194,1578.81394438136
"ACADS",245.038148545295,231.430161664598,227.152959574793,252.193084848619,230.514263169627,224.80006187716
"ACADSB",385.766898349917,395.374949921501,326.394046128672,402.650382954467,336.078470730327,357.907105079291
"ACADVL",2730.3689705786,2612.10061819206,2807.01331762801,2557.86635595952,2630.1416030343,2475.00146914736
"ACAN",5.00820950687427,0.85212347514085,2.43295899115285,0.903442983183333,9.00830395351124,5.9644025733522
"ACAP1",9.50712809768145,12.5217369964299,39.6679188059225,24.379032715697,24.3101294721634,15.5591976597079
"ACAP2",2959.10555081861,2650.12688028252,2870.34040913491,2764.03973315413,3113.78423018257,3153.6982204725
"ACAP3",880.030490099761,816.176974325744,1128.1792425897,941.213859674109,968.319859164339,788.25782602691
"ACAT1",1105.44170473428,1050.28146195457,1144.67065466047,1133.63217512844,1188.2632671273,1241.40509162696
"ACAT2",227.751364133898,265.304482046667,273.749862366481,238.404456231129,240.310849103204,299.302269580588
"ACBD3",3661.38634704591,3777.51354088141,3905.83189603978,3475.39320750138,3466.4217655567,3411.69713730003
"ACBD4",251.081336992942,257.508358625285,231.834230812311,302.193812341479,275.788900711415,258.164397422875
"ACBD5",1377.6651509337,1517.55519695859,1585.43734246186,1191.87381628968,1257.55884115534,1286.46786746143
"ACBD6",1267.07133606972,1227.28280839957,1303.4443285389,1210.41384758849,1190.27475780658,1417.89875546922
"ACBD7",91.9836243970628,81.5559180447268,75.7430398206474,113.63864935591,124.572785147986,128.256802548455
"ACCS",220.958666559506,209.764615293809,216.864177666532,189.512663991463,149.79675744906,173.151702328077
"ACD",294.37704244628,252.54145809673,313.245149025053,318.583882222872,259.432440215743,299.805489949159
"ACE",26.5223022182787,23.9790964008246,29.6503130723955,34.7374983228565,24.758332614329,25.6404905411064
"ACE2",156.448688331108,153.588567198455,165.333977176777,175.082243903734,168.453994400605,170.064558938438
"ACER1",7.84467300335975,7.98176143071096,8.41925137709642,13.7106409093107,9.20158308675478,4.05322733864129
"ACER2",91.6050234633134,78.9721605499004,82.8161588927316,63.8442238356698,60.5254931464495,54.2750180618181
"ACER3",1890.69422643425,2329.49184372512,1972.11543401483,1813.1347919227,2388.78905730663,1938.14320301156
"ACHE",2.93280416239811,5.56946193205773,2.61126650799786,2.62357967583865,4.67632067830292,4.58632890124848
"ACIN1",7526.21818477634,6801.22766479831,7219.42394922895,7907.94398483297,7890.24333429938,7915.67676453052
"ACKR2",47.858172631994,45.4558306845239,52.0028131821072,28.8789829508151,47.0398672223373,46.8276130287085
"ACKR3",981.608780311793,967.616005034182,883.956836571274,611.807622083285,687.088148225329,812.074673454114
"ACKR4",0,2.01849928117032,1.90184400335083,2.09930442338882,1.02794985925485,2.93905651559559
"ACLY",4968.21908682772,5136.70138555537,5120.5805240419,5617.77355388035,5708.47324510644,5426.82396865714
"ACO1",949.587087219677,941.876903613091,893.032524496393,842.786097565422,836.947642178079,705.504709984911
"ACO2",2146.30278014796,2382.41183606397,2255.51383962246,2118.36956373487,1959.5628378547,1854.27850937933
"ACOT1",254.576341964888,362.677243236469,380.91808319252,294.62725882669,301.995565612204,308.063129793648
"ACOT11",1062.66332829643,897.469577592187,988.503376896111,1109.85403892376,1259.7483390279,1140.54999293079
"ACOT12",18.2598771158605,11.0334877390031,4.43551670651203,8.39322126016269,13.7944075019256,1.98931278549632
"ACOT13",639.256098119627,682.526455403789,650.294216610002,675.957355068245,636.263377971249,649.5992061354
"ACOT2",1298.44078529682,1361.71070387889,1335.30493880041,1218.08852059521,1183.64868101734,1138.89718128444
"ACOT4",61.9096905423714,84.2597032544398,82.63734600534,77.1331029571713,84.0453078545748,81.7982247004629
"ACOT6",1.88534732425457,0.95292475881754,0,5.98164190026482,2.4861378627869,1.89171327597771
"ACOT7",903.606467361541,1015.39589987064,1051.0238737867,1078.22110691773,1037.56353624752,997.738082132039
"ACOT8",438.77891620328,454.025861689017,490.671863172866,441.837198703524,452.513809287064,422.420289268502
"ACOT9",1709.29586144197,1884.17690839283,1859.55660860907,1701.58302175695,1649.54014280316,1902.12706150364
"ACOX1",3864.33260883255,4147.98950896207,3966.91731338104,4313.91001709194,4345.27676527314,4242.06723301622
"ACOX2",12.6628229948449,12.5129989429119,15.9230464187782,25.9422813599996,30.0422709798614,44.9830219279211
"ACOX3",509.560270740546,520.208705678226,566.953394666718,588.60912185875,589.237268829263,509.429044535537
"ACOXL",11.9123103916263,31.2767425994656,25.0837669202013,16.505019198574,13.3221384571147,12.9054534688009
